Fecha,Positividad diaria,Positividad media movil *
2021-09-28,1.98,1.21
2021-09-29,0.72,1.24
2021-09-30,1.38,1.2
2021-10-01,2.18,1.28
2021-10-02,1.43,1.3
2021-10-03,1.14,1.34
2021-10-04,2.0,1.55
2021-10-05,1.42,1.47
2021-10-06,1.29,1.55
2021-10-07,1.67,1.59
2021-10-08,1.5,1.49
2021-10-09,3.67,1.81
2021-10-10,0.8,1.76
2021-10-11,1.66,1.71
2021-10-12,1.42,1.72
2021-10-13,3.05,1.97
2021-10-14,0.84,1.85
2021-10-15,1.71,1.88
2021-10-16,2.93,1.77
2021-10-17,2.78,2.06
2021-10-18,1.13,1.98
2021-10-19,2.24,2.1
2021-10-20,0.41,1.72
2021-10-21,1.69,1.84
2021-10-22,2.71,1.98
2021-10-23,4.33,2.18
2021-10-24,2.09,2.09
2021-10-25,1.44,2.13
2021-10-26,2.09,2.11
2021-10-27,1.9,2.32
2021-10-28,2.08,2.38
2021-10-29,4.74,2.66
2021-10-30,2.13,2.35
2021-10-31,3.73,2.58
2021-11-01,1.4,2.58
2021-11-02,2.33,2.61
2021-11-03,1.69,2.58
2021-11-04,1.45,2.49
2021-11-05,1.02,1.96
2021-11-06,4.61,2.32
2021-11-07,2.24,2.11
2021-11-08,2.23,2.23
2021-11-09,4.53,2.54
2021-11-10,1.93,2.57
2021-11-11,3.21,2.82
2021-11-12,3.22,3.14
2021-11-13,2.7,2.87
2021-11-14,3.69,3.07
2021-11-15,1.36,2.95
2021-11-16,1.67,2.54
2021-11-17,1.44,2.47
2021-11-18,2.43,2.36
2021-11-19,5.23,2.65
2021-11-20,4.26,2.87
2021-11-21,3.84,2.89
2021-11-22,2.16,3.01
2021-11-23,0.84,2.89
2021-11-24,1.59,2.91
2021-11-25,1.67,2.8
2021-11-26,2.6,2.42
2021-11-27,2.54,2.18
2021-11-28,1.61,1.86
2021-11-29,0.82,1.67
2021-11-30,0.76,1.65
2021-12-01,0.96,1.56
2021-12-02,1.78,1.58
2021-12-03,1.12,1.37
2021-12-04,1.24,1.18
2021-12-05,0.9,1.08
2021-12-06,0.53,1.04
2021-12-07,1.58,1.16
2021-12-08,1.22,1.19
2021-12-09,0.98,1.08
2021-12-10,0.91,1.05
2021-12-11,1.71,1.12
2021-12-12,1.03,1.14
2021-12-13,1.18,1.23
2021-12-14,0.69,1.1
2021-12-15,0.7,1.03
2021-12-16,0.44,0.95
2021-12-17,1.32,1.01
2021-12-18,0.9,0.89
2021-12-19,0.74,0.85
2021-12-20,0.79,0.8
2021-12-21,0.86,0.82
2021-12-22,1.0,0.86
2021-12-23,0.81,0.92
2021-12-24,1.01,0.87
2021-12-25,2.05,1.04
2021-12-26,1.47,1.14
2021-12-27,2.24,1.35
2021-12-28,1.85,1.49
2021-12-29,3.14,1.8
2021-12-30,3.7,2.21
2021-12-31,9.26,3.39
2022-01-01,9.02,4.38
2022-01-02,10.42,5.66
2022-01-03,5.48,6.12
2022-01-04,5.94,6.71
2022-01-05,6.2,7.15
2022-01-06,10.65,8.14
2022-01-07,12.16,8.55
2022-01-08,18.74,9.94
2022-01-09,13.04,10.32
2022-01-10,13.21,11.42
2022-01-11,17.98,13.14
2022-01-12,15.17,14.42
2022-01-13,13.26,14.8
2022-01-14,19.15,15.79
2022-01-15,26.08,16.84
2022-01-16,21.52,18.05
2022-01-17,24.12,19.61
2022-01-18,23.67,20.42
2022-01-19,26.7,22.07
2022-01-20,21.26,23.21
2022-01-21,24.34,23.96
2022-01-22,23.29,23.56
2022-01-23,30.6,24.86
2022-01-24,23.64,24.79
2022-01-25,23.08,24.7
2022-01-26,29.48,25.1
2022-01-27,27.43,25.98
2022-01-28,27.88,26.48
2022-01-29,29.69,27.4
2022-01-30,25.66,26.69
2022-01-31,18.74,25.99
2022-02-01,20.04,25.56
2022-02-02,16.8,23.75
2022-02-03,18.96,22.54
2022-02-04,19.47,21.34
2022-02-05,20.92,20.08
2022-02-06,17.25,18.88
2022-02-07,13.99,18.2
2022-02-08,13.3,17.24
2022-02-09,13.59,16.78
2022-02-10,11.76,15.75
2022-02-11,15.74,15.22
2022-02-12,15.46,14.44
2022-02-13,11.03,13.55
2022-02-14,12.06,13.28
