Fecha,PCR informados nuevos,Media móvil semanal de PCR informados nuevos
2021-05-20,2177.0,1582.4285714285713
2021-05-21,1272.0,1554.7142857142858
2021-05-22,1325.0,1563.857142857143
2021-05-23,1699.0,1571.2857142857142
2021-05-24,1380.0,1489.2857142857142
2021-05-25,1108.0,1464.0
2021-05-26,945.0,1415.142857142857
2021-05-27,2216.0,1420.7142857142858
2021-05-28,1359.0,1433.142857142857
2021-05-29,1405.0,1444.5714285714287
2021-05-30,1414.0,1403.857142857143
2021-05-31,2047.0,1499.142857142857
2021-06-01,1220.0,1515.142857142857
2021-06-02,595.0,1465.142857142857
2021-06-03,1932.0,1424.5714285714287
2021-06-04,1472.0,1440.7142857142858
2021-06-05,1086.0,1395.142857142857
2021-06-06,1345.0,1385.2857142857142
2021-06-07,1991.0,1377.2857142857142
2021-06-08,813.0,1319.142857142857
2021-06-09,1709.0,1478.2857142857142
2021-06-10,2127.0,1506.142857142857
2021-06-11,1343.0,1487.7142857142858
2021-06-12,1437.0,1537.857142857143
2021-06-13,1496.0,1559.4285714285713
2021-06-14,2149.0,1582.0
2021-06-15,1357.0,1659.7142857142858
2021-06-16,587.0,1499.4285714285713
2021-06-17,2169.0,1505.4285714285713
2021-06-18,1290.0,1497.857142857143
2021-06-19,1361.0,1487.0
2021-06-20,1379.0,1470.2857142857142
2021-06-21,2163.0,1472.2857142857142
2021-06-22,1241.0,1455.7142857142858
2021-06-23,1229.0,1547.4285714285713
2021-06-24,1121.0,1397.7142857142858
2021-06-25,1368.0,1408.857142857143
2021-06-26,1156.0,1379.5714285714287
2021-06-27,1468.0,1392.2857142857142
2021-06-28,2306.0,1412.7142857142858
2021-06-29,1498.0,1449.4285714285713
2021-06-30,917.0,1404.857142857143
2021-07-01,1082.0,1399.2857142857142
2021-07-02,1285.0,1387.4285714285713
2021-07-03,1236.0,1398.857142857143
2021-07-04,1348.0,1381.7142857142858
2021-07-05,2886.0,1464.5714285714287
2021-07-06,1003.0,1393.857142857143
2021-07-07,1072.0,1416.0
2021-07-08,1931.0,1537.2857142857142
2021-07-09,1459.0,1562.142857142857
2021-07-10,1159.0,1551.142857142857
2021-07-11,1449.0,1565.5714285714287
2021-07-12,1844.0,1416.7142857142858
2021-07-13,1359.0,1467.5714285714287
2021-07-14,1215.0,1488.0
2021-07-15,1464.0,1421.2857142857142
2021-07-16,1205.0,1385.0
2021-07-17,1304.0,1405.7142857142858
2021-07-18,1357.0,1392.5714285714287
2021-07-19,1434.0,1334.0
2021-07-20,630.0,1229.857142857143
2021-07-21,972.0,1195.142857142857
2021-07-22,1942.0,1263.4285714285713
2021-07-23,1123.0,1251.7142857142858
2021-07-24,1244.0,1243.142857142857
2021-07-25,1453.0,1256.857142857143
2021-07-26,2010.0,1339.142857142857
2021-07-27,1260.0,1429.142857142857
2021-07-28,964.0,1428.0
2021-07-29,2194.0,1464.0
2021-07-30,1365.0,1498.5714285714287
2021-07-31,1127.0,1481.857142857143
2021-08-01,1196.0,1445.142857142857
2021-08-02,1969.0,1439.2857142857142
2021-08-03,1259.0,1439.142857142857
2021-08-04,957.0,1438.142857142857
2021-08-05,1737.0,1372.857142857143
2021-08-06,1795.0,1434.2857142857142
2021-08-07,1395.0,1472.5714285714287
2021-08-08,1512.0,1517.7142857142858
2021-08-09,2132.0,1541.0
2021-08-10,1677.0,1600.7142857142858
2021-08-11,1324.0,1653.142857142857
2021-08-12,1870.0,1672.142857142857
2021-08-13,1416.0,1618.0
2021-08-14,1158.0,1584.142857142857
2021-08-15,1321.0,1556.857142857143
2021-08-16,2133.0,1557.0
2021-08-17,1413.0,1519.2857142857142
2021-08-18,448.0,1394.142857142857
2021-08-19,2509.0,1485.4285714285713
2021-08-20,1161.0,1449.0
