Fecha,Incidencia regional estimada,Incidencia Iquique estimada,Incidencia Tamarugal estimada
2021-06-17,17.43,16.89,17.88
2021-06-18,15.05,14.24,25.04
2021-06-19,10.92,11.15,13.83
2021-06-20,11.86,11.45,14.58
2021-06-21,14.81,15.41,12.42
2021-06-22,16.01,15.56,11.84
2021-06-23,16.8,16.14,12.35
2021-06-24,14.58,14.27,10.99
2021-06-25,13.88,13.66,10.59
2021-06-26,12.0,11.78,7.3
2021-06-27,7.98,8.38,6.18
2021-06-28,10.9,11.58,8.55
2021-06-29,11.13,11.98,8.32
2021-06-30,12.27,11.55,8.79
2021-07-01,11.16,11.22,6.21
2021-07-02,12.09,11.63,8.82
2021-07-03,9.41,9.01,6.99
2021-07-04,9.02,8.05,9.93
2021-07-05,11.56,11.34,10.42
2021-07-06,9.87,9.77,8.97
2021-07-07,7.55,8.05,8.03
2021-07-08,7.24,6.99,8.26
2021-07-09,7.67,7.68,7.57
2021-07-10,6.71,6.3,5.53
2021-07-11,5.97,6.09,5.29
2021-07-12,8.04,8.23,7.61
2021-07-13,7.55,7.8,6.76
2021-07-14,7.38,7.06,6.6
2021-07-15,6.63,6.41,5.9
2021-07-16,5.24,5.51,5.63
2021-07-17,6.18,5.85,5.32
2021-07-18,5.74,5.71,4.88
2021-07-19,8.23,7.85,5.53
2021-07-20,6.74,7.16,5.66
2021-07-21,6.51,6.54,4.59
2021-07-22,5.79,5.85,5.02
2021-07-23,6.13,6.0,4.2
2021-07-24,4.81,4.77,4.49
2021-07-25,5.3,5.47,4.18
2021-07-26,8.38,8.04,8.21
2021-07-27,7.15,7.43,5.63
2021-07-28,7.28,7.19,5.68
2021-07-29,6.61,6.59,6.81
2021-07-30,4.87,5.44,5.92
2021-07-31,7.94,7.46,6.38
2021-08-01,5.52,5.5,7.64
2021-08-02,8.68,8.21,11.75
2021-08-03,7.08,6.85,9.83
2021-08-04,7.86,7.55,9.4
2021-08-05,5.57,5.79,6.81
2021-08-06,7.93,7.91,9.3
2021-08-07,6.63,6.85,6.06
2021-08-08,5.2,5.12,6.4
2021-08-09,11.03,11.35,8.24
2021-08-10,6.4,6.13,10.35
2021-08-11,5.21,5.1,9.28
2021-08-12,5.0,4.69,6.7
2021-08-13,4.05,4.11,4.25
2021-08-14,3.67,3.79,4.01
2021-08-15,3.45,3.59,3.24
2021-08-16,4.88,5.15,5.31
2021-08-17,4.76,4.94,4.32
2021-08-18,4.65,4.59,4.9
2021-08-19,4.58,4.27,3.31
2021-08-20,4.24,3.98,3.45
2021-08-21,3.0,2.97,3.63
2021-08-22,2.95,2.82,3.53
2021-08-23,4.09,3.85,5.15
2021-08-24,3.56,3.44,5.92
2021-08-25,3.56,3.17,6.24
2021-08-26,3.56,2.78,8.46
2021-08-27,3.01,2.61,8.31
2021-08-28,2.56,2.17,7.27
2021-08-29,2.74,1.7,11.8
2021-08-30,3.68,2.89,9.25
2021-08-31,3.38,2.58,12.83
2021-09-01,3.36,2.76,8.73
2021-09-02,3.2,2.78,7.69
2021-09-03,3.04,2.58,8.17
2021-09-04,2.6,2.55,6.28
2021-09-05,2.34,2.22,5.19
2021-09-06,3.68,3.26,6.52
2021-09-07,4.06,3.56,6.82
2021-09-08,3.59,3.04,6.45
2021-09-09,3.69,3.08,9.21
2021-09-10,4.43,3.51,10.68
2021-09-11,4.2,3.41,6.62
2021-09-12,4.16,3.23,9.74
2021-09-13,5.75,4.32,11.17
2021-09-14,5.34,4.35,7.92
2021-09-15,4.63,4.05,7.8
2021-09-16,4.3,3.71,4.76
2021-09-17,3.52,3.48,3.87
2021-09-18,3.23,3.41,3.16
2021-09-19,3.11,3.15,2.54
2021-09-20,5.98,6.14,2.87
2021-09-21,4.93,5.38,2.8
2021-09-22,4.64,4.83,2.97
2021-09-23,5.12,4.9,2.25
2021-09-24,7.11,5.62,3.63
2021-09-25,5.05,4.64,3.62
2021-09-26,4.96,4.71,4.35
2021-09-27,8.67,7.93,6.87
2021-09-28,8.42,7.41,9.55
2021-09-29,8.02,7.09,8.34
2021-09-30,8.46,7.84,7.44
2021-10-01,8.4,8.16,6.53
2021-10-02,6.02,6.04,5.02
2021-10-03,5.87,6.08,4.01
2021-10-04,7.95,8.6,4.06
2021-10-05,7.62,7.85,4.49
2021-10-06,6.63,7.13,4.25
2021-10-07,7.81,7.75,5.15
2021-10-08,6.76,7.16,4.57
2021-10-09,6.97,7.21,5.78
2021-10-10,6.22,6.37,6.55
2021-10-11,8.69,8.26,10.66
2021-10-12,11.3,10.72,9.89
2021-10-13,10.58,8.39,23.22
2021-10-14,8.15,7.36,10.22
2021-10-15,8.23,6.66,12.96
2021-10-16,7.09,6.78,8.1
2021-10-17,7.27,7.19,7.88
2021-10-18,12.24,12.4,11.48
2021-10-19,11.23,10.83,7.45
2021-10-20,10.52,10.52,7.11
2021-10-21,10.36,10.64,6.53
2021-10-22,10.71,10.6,6.57
2021-10-23,8.09,8.75,7.78
2021-10-24,8.12,8.2,4.38
2021-10-25,13.56,13.45,10.44
2021-10-26,10.95,10.89,8.19
2021-10-27,10.58,10.84,6.52
2021-10-28,10.19,9.84,8.36
2021-10-29,9.13,8.67,8.39
2021-10-30,7.78,7.61,7.56
2021-10-31,10.17,9.6,9.96
2021-11-01,13.71,13.71,11.6
2021-11-02,13.88,14.39,8.14
2021-11-03,16.44,15.93,8.41
2021-11-04,13.98,15.18,5.29
2021-11-05,13.4,14.09,5.24
2021-11-06,14.31,15.0,4.55
2021-11-07,12.04,12.04,6.89
2021-11-08,18.95,19.3,7.05
2021-11-09,13.74,13.58,8.31
2021-11-10,11.56,10.93,7.52
2021-11-11,9.35,9.46,6.72
2021-11-12,9.3,9.04,8.48
2021-11-13,7.62,7.71,6.24
2021-11-14,,,
2021-11-15,,,
2021-11-16,,,
2021-11-17,,,
2021-11-18,,,
2021-11-19,,,
2021-11-20,,,
2021-11-21,,,
2021-11-22,,,
2021-11-23,,,
