Fecha,Mortalidad específica por cien mil habitantes
2021-10-01,211.61
2021-10-02,211.61
2021-10-03,211.61
2021-10-04,211.61
2021-10-05,211.61
2021-10-06,211.61
2021-10-07,211.61
2021-10-08,211.61
2021-10-09,211.61
2021-10-10,211.61
2021-10-11,211.61
2021-10-12,211.61
2021-10-13,211.61
2021-10-14,211.61
2021-10-15,211.61
2021-10-16,211.61
2021-10-17,211.61
2021-10-18,211.61
2021-10-19,211.61
2021-10-20,211.61
2021-10-21,211.61
2021-10-22,211.61
2021-10-23,211.61
2021-10-24,211.61
2021-10-25,211.61
2021-10-26,211.61
2021-10-27,211.61
2021-10-28,211.61
2021-10-29,211.61
2021-10-30,211.61
2021-10-31,211.87
2021-11-01,211.87
2021-11-02,211.87
2021-11-03,211.87
2021-11-04,211.87
2021-11-05,211.87
2021-11-06,211.87
2021-11-07,211.87
2021-11-08,211.87
2021-11-09,211.87
2021-11-10,211.87
2021-11-11,211.87
2021-11-12,211.87
2021-11-13,211.87
2021-11-14,211.87
2021-11-15,212.14
2021-11-16,212.14
2021-11-17,212.14
2021-11-18,212.14
2021-11-19,212.14
2021-11-20,212.4
2021-11-21,212.4
2021-11-22,212.66
2021-11-23,212.66
2021-11-24,212.66
2021-11-25,212.92
2021-11-26,212.92
2021-11-27,213.18
2021-11-28,213.18
2021-11-29,213.18
2021-11-30,213.18
2021-12-01,213.18
2021-12-02,213.18
2021-12-03,213.18
2021-12-04,213.18
2021-12-05,213.18
2021-12-06,213.44
2021-12-07,213.44
2021-12-08,213.44
2021-12-09,213.7
2021-12-10,213.96
2021-12-11,213.96
2021-12-12,214.23
2021-12-13,214.49
2021-12-14,214.49
2021-12-15,214.49
